day;gdelt_volume;gdelt_index_pct
2022-04-19;1400;38.62068965517241
2022-04-20;3625;100.0
2022-04-21;1855;51.172413793103445
2022-04-22;1340;36.96551724137931
2022-04-23;848;23.393103448275863
2022-04-24;560;15.448275862068966
2022-04-25;883;24.358620689655172
2022-04-26;826;22.786206896551725
2022-04-27;971;26.78620689655172
2022-04-28;1180;32.55172413793103
2022-04-29;1168;32.220689655172414
2022-04-30;1143;31.531034482758617
2022-05-01;629;17.351724137931036
2022-05-02;1096;30.23448275862069
2022-05-03;983;27.117241379310347
