date,Ticker,price_Nflx,log_return,vol_5d,vol_10d,social_volume,sentiment_distilbert_social,sentiment_xlm_social,MDI_social,like_sum,retweet_sum,reply_sum,engagement,gdelt_volume,gdelt_index_pct
2022-04-19,Netflix,34.86100006103516,0.03,0.02,0.02,110,-0.84,-0.47,0.51,139264,15627,9452,164343,1400,38.62068965517241
2022-04-20,Netflix,22.61899948120117,-0.43,0.2,0.14,28,-0.88,-0.4,0.58,38865,5218,2495,46578,3625,100.0
2022-04-21,Netflix,21.82200050354004,-0.04,0.19,0.14,85,-0.74,-0.49,0.47,133972,13619,3701,151292,1855,51.172413793103445
2022-04-22,Netflix,21.552000045776367,-0.01,0.19,0.14,18,-0.11,-0.09,0.49,34014,6914,1120,42048,1340,36.96551724137931
2022-04-23,Netflix,,,,,98,-0.22,-0.23,0.45,131098,21830,3062,155990,848,23.393103448275863
2022-04-24,Netflix,,,,,71,-0.39,-0.28,0.42,155129,13975,6530,175634,560,15.448275862068966
2022-04-25,Netflix,20.99099922180176,-0.03,0.19,0.14,58,-0.21,-0.04,0.73,129518,82836,3775,216129,883,24.35862068965517
2022-04-26,Netflix,19.84000015258789,-0.06,0.18,0.13,51,-0.15,0.01,0.54,145160,17788,10726,173674,826,22.786206896551725
2022-04-27,Netflix,18.85400009155273,-0.05,0.02,0.13,57,-0.21,-0.16,0.6,234737,26201,1950,262888,971,26.78620689655172
2022-04-28,Netflix,19.95199966430664,0.06,0.05,0.14,74,-0.14,-0.04,0.55,228907,25919,3224,258050,1180,32.55172413793103
2022-04-29,Netflix,19.035999298095703,-0.05,0.05,0.14,116,-0.25,-0.03,0.65,261964,30401,5297,297662,1168,32.220689655172414
2022-04-30,Netflix,,,,,90,-0.34,-0.08,0.68,129529,14306,1848,145683,1143,31.531034482758617
2022-05-01,Netflix,,,,,39,-0.14,-0.15,0.63,79376,9235,1722,90333,629,17.351724137931036
2022-05-02,Netflix,19.94599914550781,0.05,0.06,0.14,29,-0.59,-0.29,0.61,18748,3128,965,22841,1096,30.23448275862069
2022-05-03,Netflix,19.98699951171875,0.0,0.05,0.14,45,-0.08,0.0,0.66,195592,104522,2481,302595,983,27.117241379310347
